day,count
2026-02-20,4597
2026-02-21,3982
2026-02-22,3872
2026-02-23,8166
2026-02-24,11375
2026-02-25,6308
2026-02-26,5138
2026-02-27,4893
2026-02-28,5435
2026-03-01,6359
2026-03-02,7568
2026-03-03,7029
2026-03-04,7888
2026-03-05,8486
2026-03-06,12324
2026-03-07,9987
2026-03-08,11101
2026-03-09,14129
2026-03-10,12652
2026-03-11,11858
2026-03-12,11221
2026-03-13,11780
2026-03-14,9701
2026-03-15,9731
2026-03-16,11287
2026-03-17,11828
2026-03-18,11627
2026-03-19,11372
2026-03-20,10559
2026-03-21,9329
2026-03-22,9592
2026-03-23,11275
2026-03-24,11749
2026-03-25,10820
2026-03-26,11418
2026-03-27,10691
2026-03-28,9608
2026-03-29,9737
2026-03-30,11641
2026-03-31,11840
2026-04-01,11026
2026-04-02,9622
2026-04-03,9592
2026-04-04,8453
2026-04-05,581
